# Start monitoring : /import/bc2/home/guest/zoo/fields/falcon-install/fc_env/bin/python /import/bc2/home/guest/zoo/fields/falcon-install/fc_env/bin/fc_run.py fc_run_dmagna_short.cfg
#
# System memory total  [MB]: 2068021
# - available at start [MB]: 1912681
# System swap total    [MB]: 0
# - free swap at start [MB]: 0
#
time(s):0.0 sum_rss(MB):6350.0 sum_vms(MB):8485.5 numproc:13 numthreads:33 mem_avail(MB/%):1912677/92.5% swap_avail(MB/%):0/100.0%
time(s):10.5 sum_rss(MB):4951.2 sum_vms(MB):6782.2 numproc:11 numthreads:26 mem_avail(MB/%):1914260/92.6% swap_avail(MB/%):0/100.0%
time(s):20.9 sum_rss(MB):4286.1 sum_vms(MB):5759.7 numproc:10 numthreads:26 mem_avail(MB/%):1915943/92.6% swap_avail(MB/%):0/100.0%
time(s):31.3 sum_rss(MB):5694.3 sum_vms(MB):7573.2 numproc:13 numthreads:33 mem_avail(MB/%):1915099/92.6% swap_avail(MB/%):0/100.0%
time(s):41.7 sum_rss(MB):6489.6 sum_vms(MB):8625.6 numproc:13 numthreads:31 mem_avail(MB/%):1914238/92.6% swap_avail(MB/%):0/100.0%
time(s):52.1 sum_rss(MB):6075.2 sum_vms(MB):8213.8 numproc:13 numthreads:33 mem_avail(MB/%):1914952/92.6% swap_avail(MB/%):0/100.0%
time(s):62.5 sum_rss(MB):6355.4 sum_vms(MB):8483.0 numproc:13 numthreads:33 mem_avail(MB/%):1916983/92.7% swap_avail(MB/%):0/100.0%
time(s):72.9 sum_rss(MB):6488.3 sum_vms(MB):8618.8 numproc:13 numthreads:30 mem_avail(MB/%):1914326/92.6% swap_avail(MB/%):0/100.0%
time(s):83.4 sum_rss(MB):4792.5 sum_vms(MB):6511.6 numproc:10 numthreads:26 mem_avail(MB/%):1916256/92.7% swap_avail(MB/%):0/100.0%
time(s):93.9 sum_rss(MB):4195.7 sum_vms(MB):5773.4 numproc:11 numthreads:23 mem_avail(MB/%):1914913/92.6% swap_avail(MB/%):0/100.0%
time(s):104.4 sum_rss(MB):4828.2 sum_vms(MB):6555.2 numproc:10 numthreads:23 mem_avail(MB/%):1915656/92.6% swap_avail(MB/%):0/100.0%
time(s):114.8 sum_rss(MB):6020.8 sum_vms(MB):8149.3 numproc:13 numthreads:30 mem_avail(MB/%):1913574/92.5% swap_avail(MB/%):0/100.0%
time(s):125.2 sum_rss(MB):5829.4 sum_vms(MB):7963.3 numproc:13 numthreads:33 mem_avail(MB/%):1913271/92.5% swap_avail(MB/%):0/100.0%
time(s):135.6 sum_rss(MB):6400.5 sum_vms(MB):8529.7 numproc:13 numthreads:30 mem_avail(MB/%):1912692/92.5% swap_avail(MB/%):0/100.0%
time(s):146.1 sum_rss(MB):6034.8 sum_vms(MB):8156.1 numproc:13 numthreads:32 mem_avail(MB/%):1913147/92.5% swap_avail(MB/%):0/100.0%
time(s):156.5 sum_rss(MB):2990.3 sum_vms(MB):4301.6 numproc:7 numthreads:18 mem_avail(MB/%):1915944/92.6% swap_avail(MB/%):0/100.0%
